เพศ,ช่วงอายุ/ช่วงวัย,เทศกาล/โอกาสสำคัญ,ความสัมพันธ์,ราคา,คลาสของขวัญ
ชาย,ผู้สูงอายุ,ปีใหม่,ปู่,25,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,ปีใหม่,ตา,45,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,ปีใหม่,ทวด,65,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,วันเกิด,ปู่,85,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,วันเกิด,ตา,105,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,วันเกิด,ทวด,125,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ปู่,145,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ตา,165,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ทวด,185,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,ปีใหม่,ปู่,205,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,ปีใหม่,ตา,225,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,ปีใหม่,ทวด,245,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,วันเกิด,ปู่,265,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,วันเกิด,ตา,285,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,วันเกิด,ทวด,305,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ปู่,325,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ตา,345,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ทวด,365,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,ปีใหม่,ปู่,385,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,ปีใหม่,ตา,405,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,ปีใหม่,ทวด,425,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,วันเกิด,ปู่,445,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,วันเกิด,ตา,465,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,วันเกิด,ทวด,485,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ปู่,505,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ตา,525,อาหารเสริมเพื่อสุขภาพ
ชาย,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ทวด,545,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,ปีใหม่,ย่า,565,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,ปีใหม่,ยาย,585,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,ปีใหม่,ทวด,605,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,วันเกิด,ย่า,625,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,วันเกิด,ยาย,645,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,ปีใหม่,ย่า,665,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,ปีใหม่,ยาย,685,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,ปีใหม่,ทวด,705,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,วันเกิด,ย่า,725,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,วันเกิด,ยาย,745,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,วันเกิด,ทวด,765,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ย่า,785,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ยาย,805,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,รดน้ำดำหัวผู้ใหญ่,ทวด,825,อาหารเสริมเพื่อสุขภาพ
หญิง,ผู้สูงอายุ,ปีใหม่,ย่า,845,อาหารเสริมเพื่อสุขภาพ
