เพศ,ช่วงอายุ/ช่วงวัย,เทศกาล/โอกาสสำคัญ,ความสัมพันธ์,ราคา,คลาสของขวัญ
0,12,13,34.05,100,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.06,300,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.07,400,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.05,100,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.06,300,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.07,400,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.05,100,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.06,300,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.07,400,อาหารเสริมเพื่อสุขภาพ
0,12.1,13,34.05,100,อาหารเสริมเพื่อสุขภาพ
0,12.1,13,34.06,300,อาหารเสริมเพื่อสุขภาพ
0,12.1,13,34.07,400,อาหารเสริมเพื่อสุขภาพ
0,12.1,24,34.05,100,อาหารเสริมเพื่อสุขภาพ
0,12.1,24,34.06,300,อาหารเสริมเพื่อสุขภาพ
0,12.1,24,34.07,400,อาหารเสริมเพื่อสุขภาพ
0,12.1,22,34.05,200,อาหารเสริมเพื่อสุขภาพ
0,12.1,22,34.06,500,อาหารเสริมเพื่อสุขภาพ
0,12.1,22,34.07,600,อาหารเสริมเพื่อสุขภาพ
0.1,12,13,34.05,200,อาหารเสริมเพื่อสุขภาพ
0.1,12,13,34.06,500,อาหารเสริมเพื่อสุขภาพ
0.1,12,13,34.07,600,อาหารเสริมเพื่อสุขภาพ
0.1,12,24,34.05,200,อาหารเสริมเพื่อสุขภาพ
0.1,12,24,34.06,500,อาหารเสริมเพื่อสุขภาพ
0.1,12,24,34.07,600,อาหารเสริมเพื่อสุขภาพ
0.1,12,22,34.05,25,อาหารเสริมเพื่อสุขภาพ
0.1,12,22,34.06,25,อาหารเสริมเพื่อสุขภาพ
0.1,12,22,34.07,600,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,13,34.05,200,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,13,34.06,500,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,13,34.07,25,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,24,34.05,200,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,24,34.06,500,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,24,34.07,600,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,22,34.05,500,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,22,34.06,500,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,22,34.07,25,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.2,700,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.21,800,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.22,25,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.2,700,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.21,800,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.22,100,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.2,700,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.21,800,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.22,900,อาหารเสริมเพื่อสุขภาพ
1,12.1,13,34.2,700,อาหารเสริมเพื่อสุขภาพ
1,12.1,13,34.21,800,อาหารเสริมเพื่อสุขภาพ
1,12.1,13,34.22,900,อาหารเสริมเพื่อสุขภาพ
1,12.1,24,34.2,700,อาหารเสริมเพื่อสุขภาพ
1,12.1,24,34.21,800,อาหารเสริมเพื่อสุขภาพ
1,12.1,24,34.22,900,อาหารเสริมเพื่อสุขภาพ
1,12.1,22,34.2,1000,อาหารเสริมเพื่อสุขภาพ
1,12.1,22,34.21,50,อาหารเสริมเพื่อสุขภาพ
1,12.1,22,34.22,900,อาหารเสริมเพื่อสุขภาพ
1.1,12,13,34.2,1000,อาหารเสริมเพื่อสุขภาพ
1.1,12,13,34.21,50,อาหารเสริมเพื่อสุขภาพ
1.1,12,13,34.22,900,อาหารเสริมเพื่อสุขภาพ
1.1,12,24,34.2,1000,อาหารเสริมเพื่อสุขภาพ
1.1,12,24,34.21,50,อาหารเสริมเพื่อสุขภาพ
1.1,12,24,34.22,100,อาหารเสริมเพื่อสุขภาพ
1.1,12,22,34.2,1000,อาหารเสริมเพื่อสุขภาพ
1.1,12,22,34.21,50,อาหารเสริมเพื่อสุขภาพ
1.1,12,22,34.22,100,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,13,34.2,1000,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,13,34.21,50,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,13,34.22,100,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,24,34.2,300,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,24,34.21,400,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,24,34.22,200,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,22,34.2,300,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,22,34.21,400,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,22,34.22,200,อาหารเสริมเพื่อสุขภาพ
