เพศ,ช่วงอายุ/ช่วงวัย,ความสัมพันธ์,เทศกาล/โอกาสสำคัญ,คลาสของขวัญ
0.249578433,9,32,13,น้ำหอม
0.312213011,9,32.1,13,น้ำหอม
0.447665863,9,32.2,13,น้ำหอม
0.367657162,9,32.3,13,น้ำหอม
0.950302375,9,32.4,13,น้ำหอม
0.535864896,10,30,13,น้ำหอม
0.472319866,10,30.1,13,น้ำหอม
0.724060938,10,30.2,13,น้ำหอม
0.106813675,10,30.3,13,น้ำหอม
0.704045828,10,30.4,13,น้ำหอม
0.322443144,11,33,13,น้ำหอม
0.614315142,11,33.1,13,น้ำหอม
0.752992048,11,33.2,13,น้ำหอม
0.98935167,11,33.3,13,น้ำหอม
0.821712309,11,33.4,13,น้ำหอม
0.837276007,12,34,14,น้ำหอม
0.883976242,12,34.1,14,น้ำหอม
0.798931302,12,34.2,14,น้ำหอม
0.531265032,12,34.3,14,น้ำหอม
0.089857911,12,34.4,14,น้ำหอม
0.162277133,13,35,14,น้ำหอม
0.019441284,13,35.1,14,น้ำหอม
0.815240896,13,35.2,14,น้ำหอม
0.117774093,13,35.3,14,น้ำหอม
0.924992595,13,35.4,14,น้ำหอม
0.742029306,14,32,14,น้ำหอม
0.591327548,14,32.1,14,น้ำหอม
0.922363284,14,32.2,14,น้ำหอม
0.952055777,14,32.3,14,น้ำหอม
0.303096997,14,32.4,14,น้ำหอม
0.311951507,15,30,15,น้ำหอม
0.822621899,15,30.1,15,น้ำหอม
0.274754446,15,30.2,15,น้ำหอม
0.218822727,15,30.3,15,น้ำหอม
0.243080641,15,30.4,15,น้ำหอม
0.851049343,16,33,15,น้ำหอม
0.801945425,16,33.1,15,น้ำหอม
0.643624808,16,33.2,15,น้ำหอม
0.666219673,16,33.3,15,น้ำหอม
0.150749502,16,33.4,15,น้ำหอม
0.994147763,17,34,16,น้ำหอม
0.155488526,17,34.1,16,น้ำหอม
0.675232494,17,34.2,16,น้ำหอม
0.66824841,17,34.3,16,น้ำหอม
0.135512906,17,34.4,16,น้ำหอม
0.060549473,17,35,16,น้ำหอม
0.088178317,13,35.1,16,น้ำหอม
0.266497544,13,35.2,16,น้ำหอม
0.474180987,13,35.3,16,น้ำหอม
0.812028192,13,35.4,16,น้ำหอม
0.914369253,9,32,13,กระเป๋า
0.904460159,9,32.1,13,กระเป๋า
0.63367959,9,32.2,13,กระเป๋า
0.120339794,9,32.3,13,กระเป๋า
0.09051996,9,32.4,13,กระเป๋า
0.408078563,10,30,13,กระเป๋า
0.303215404,10,30.1,13,กระเป๋า
0.796362284,10,30.2,13,กระเป๋า
0.980231483,10,30.3,13,กระเป๋า
0.825466682,10,30.4,13,กระเป๋า
0.956750629,11,33,13,กระเป๋า
0.046168014,11,33.1,13,กระเป๋า
0.887269647,11,33.2,13,กระเป๋า
0.91698211,11,33.3,13,กระเป๋า
0.113939084,11,33.4,13,กระเป๋า
0.151381486,12,34,14,กระเป๋า
0.122634769,12,34.1,14,กระเป๋า
0.04763757,12,34.2,14,กระเป๋า
0.351200989,12,34.3,14,กระเป๋า
0.955560502,12,34.4,14,กระเป๋า
0.935708564,13,35,14,กระเป๋า
0.349765978,13,35.1,14,กระเป๋า
0.848849075,13,35.2,14,กระเป๋า
0.576465217,13,35.3,14,กระเป๋า
0.147545957,13,35.4,14,กระเป๋า
0.766824657,14,32,14,กระเป๋า
0.553533416,14,32.1,14,กระเป๋า
0.6743718,14,32.2,14,กระเป๋า
0.801614134,14,32.3,14,กระเป๋า
0.26938764,14,32.4,14,กระเป๋า
0.197627286,15,30,15,กระเป๋า
0.369912147,15,30.1,15,กระเป๋า
0.971871447,15,30.2,15,กระเป๋า
0.512120069,15,30.3,15,กระเป๋า
0.348916219,15,30.4,15,กระเป๋า
0.248001386,16,33,15,กระเป๋า
0.303215197,16,33.1,15,กระเป๋า
0.646939645,16,33.2,15,กระเป๋า
0.45487861,16,33.3,15,กระเป๋า
0.496908646,16,33.4,15,กระเป๋า
0.319071632,17,34,16,กระเป๋า
0.424124189,17,34.1,16,กระเป๋า
0.319603666,17,34.2,16,กระเป๋า
0.022106878,17,34.3,16,กระเป๋า
0.662629813,17,34.4,16,กระเป๋า
0.481872582,17,35,16,กระเป๋า
0.252883388,13,35.1,16,กระเป๋า
0.26285366,13,35.2,16,กระเป๋า
0.04853232,13,35.3,16,กระเป๋า
0.065723494,13,35.4,16,กระเป๋า
